Team,MP,W,D,L,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,xGF,1.5+,2.5+,AVG
Liverpool FC,11,9,1,1,21,6,+15,28,WWDWW,2.55,55%,36%,1.6,82%,55%,2.45
Manchester City FC,11,7,2,2,22,13,+9,23,WWWLL,2.09,18%,82%,2.18,91%,73%,3.18
Chelsea FC,11,5,4,2,21,13,+8,19,DLWDD,1.73,18%,73%,1.5,91%,45%,3.09
Arsenal FC,11,5,4,2,18,12,+6,19,WLDLD,1.73,27%,55%,1.57,82%,36%,2.73
Nottingham Forest FC,11,5,4,2,15,10,+5,19,DWWWL,1.73,36%,55%,1.49,64%,36%,2.27
Brighton & Hove Albion FC,11,5,4,2,19,15,+4,19,WWDLW,1.73,27%,73%,1.45,82%,73%,3.09
Fulham FC,11,5,3,3,16,13,+3,18,LLDWW,1.64,18%,73%,1.61,82%,45%,2.64
Newcastle United FC,11,5,3,3,13,11,+2,18,DLLWW,1.64,27%,64%,1.34,64%,45%,2.18
Aston Villa FC,11,5,3,3,17,17,0,18,DWDLL,1.64,9%,73%,1.3,91%,64%,3.09
Tottenham Hotspur FC,11,5,1,5,23,13,+10,16,LWLWL,1.45,18%,64%,1.86,82%,73%,3.27
Brentford FC,11,5,1,5,22,22,0,16,WLWLW,1.45,0%,91%,1.37,100%,82%,4.0
Manchester United FC,11,4,3,4,12,12,0,15,DWLDW,1.36,45%,36%,1.51,73%,64%,2.18
AFC Bournemouth,11,4,3,4,15,15,0,15,LWDWL,1.36,9%,64%,1.52,82%,45%,2.73
West Ham United FC,11,3,3,5,13,19,-6,12,WLWLD,1.09,18%,64%,1.38,91%,64%,2.91
Everton FC,11,2,4,5,10,17,-7,10,DWDLD,0.91,27%,45%,1.29,73%,45%,2.45
Leicester City FC,11,2,4,5,14,21,-7,10,WWLDL,0.91,9%,82%,1.17,91%,64%,3.18
Ipswich Town FC,11,1,5,5,12,22,-10,8,LLLDW,0.73,9%,73%,1.05,91%,45%,3.09
Crystal Palace FC,11,1,4,6,8,15,-7,7,LLWDL,0.64,18%,45%,1.44,64%,36%,2.09
Wolverhampton Wanderers FC,11,1,3,7,16,27,-11,6,LLDDW,0.55,9%,82%,1.21,100%,73%,3.91
Southampton FC,11,1,1,9,7,21,-14,4,LLLWL,0.36,9%,45%,1.11,64%,45%,2.55
